level,parent,count,names,source,checked_on
district,Tamil Nadu,38,Ariyalur|Chengalpattu|Chennai|Coimbatore|Cuddalore|Dharmapuri|Dindigul|Erode|Kallakurichi|Kanchipuram|Kanniyakumari|Karur|Krishnagiri|Madurai|Mayiladuthurai|Nagapattinam|Namakkal|Perambalur|Pudukkottai|Ramanathapuram|Ranipet|Salem|Sivaganga|Tenkasi|Thanjavur|The Nilgiris|Theni|Thiruvallur|Thiruvarur|Tiruchirappalli|Tirunelveli|Tirupathur|Tiruppur|Tiruvannamalai|Tuticorin|Vellore|Villupuram|Virudhunagar,LGD district register,2026-09-22
block,Madurai,13,Alanganallur|Chellampatti|Kallikudi|Kottampatti|Madurai East|Madurai West|Melur|Sedapatti|Thirumangalam|Thiruparankundram|T. Kallupatti|Usilampatti|Vadipatti,LGD block list as stated in the project brief,2026-09-22
district,Bihar,38,,Government of Bihar district register,2026-09-22
block,Bhagalpur,16,Narayanpur|Bihpur|Kharik|Naugachia|Rangra Chowk|Gopalpur|Ismailpur|Pirpainty|Kahalgaon|Sanhoula|Sabour|Nathnagar|Sultanganj|Shahkund|Goradih|Jagdishpur,Bhagalpur district administration (bhagalpur.nic.in) subdivision and blocks page,2026-09-22
